행정구역,2025년10월_거주자_총인구수,2025년10월_거주자_연령구간인구수,2025년10월_거주자_0~9세,2025년10월_거주자_10~19세,2025년10월_거주자_20~29세,2025년10월_거주자_30~39세,2025년10월_거주자_40~49세,2025년10월_거주자_50~59세,2025년10월_거주자_60~69세,2025년10월_거주자_70~79세,2025년10월_거주자_80~89세,2025년10월_거주자_90~99세,2025년10월_거주자_100세 이상,2025년10월_남_거주자_총인구수,2025년10월_남_거주자_연령구간인구수,2025년10월_남_거주자_0~9세,2025년10월_남_거주자_10~19세,2025년10월_남_거주자_20~29세,2025년10월_남_거주자_30~39세,2025년10월_남_거주자_40~49세,2025년10월_남_거주자_50~59세,2025년10월_남_거주자_60~69세,2025년10월_남_거주자_70~79세,2025년10월_남_거주자_80~89세,2025년10월_남_거주자_90~99세,2025년10월_남_거주자_100세 이상,2025년10월_여_거주자_총인구수,2025년10월_여_거주자_연령구간인구수,2025년10월_여_거주자_0~9세,2025년10월_여_거주자_10~19세,2025년10월_여_거주자_20~29세,2025년10월_여_거주자_30~39세,2025년10월_여_거주자_40~49세,2025년10월_여_거주자_50~59세,2025년10월_여_거주자_60~69세,2025년10월_여_거주자_70~79세,2025년10월_여_거주자_80~89세,2025년10월_여_거주자_90~99세,2025년10월_여_거주자_100세 이상
서울특별시  (1100000000),"9,246,276","9,246,276","463,396","717,839","1,263,443","1,451,708","1,355,665","1,455,421","1,304,157","813,515","366,056","53,733","1,343","4,454,997","4,454,997","237,790","366,599","591,347","725,693","669,403","715,104","617,992","366,425","149,312","15,057",275,"4,791,279","4,791,279","225,606","351,240","672,096","726,015","686,262","740,317","686,165","447,090","216,744","38,676","1,068"
서울특별시 종로구 (1111000000),"135,791","135,791","5,147","9,236","20,293","19,698","18,058","22,478","20,566","12,287","6,830","1,166",32,"65,063","65,063","2,638","4,514","9,437","9,802","8,692","10,996","10,261","5,647","2,710",356,10,"70,728","70,728","2,509","4,722","10,856","9,896","9,366","11,482","10,305","6,640","4,120",810,22
서울특별시 중구 (1114000000),"116,927","116,927","4,999","5,788","15,839","21,102","15,962","17,617","17,643","11,223","5,761",975,18,"56,082","56,082","2,557","2,883","7,049","10,485","8,008","8,811","8,732","5,122","2,178",252,5,"60,845","60,845","2,442","2,905","8,790","10,617","7,954","8,806","8,911","6,101","3,583",723,13
서울특별시 용산구 (1117000000),"199,437","199,437","9,888","12,541","26,638","36,973","28,522","31,222","27,707","15,808","8,562","1,529",47,"94,965","94,965","4,988","6,400","11,877","18,078","14,096","15,152","13,509","7,105","3,265",480,15,"104,472","104,472","4,900","6,141","14,761","18,895","14,426","16,070","14,198","8,703","5,297","1,049",32
서울특별시 성동구 (1120000000),"272,345","272,345","15,629","17,206","38,073","47,622","39,215","42,334","37,942","21,921","10,840","1,531",32,"131,490","131,490","8,074","8,544","18,143","23,413","19,648","20,641","18,567","9,857","4,183",411,9,"140,855","140,855","7,555","8,662","19,930","24,209","19,567","21,693","19,375","12,064","6,657","1,120",23
서울특별시 광진구 (1121500000),"329,457","329,457","13,562","22,853","55,339","56,435","45,607","50,640","45,394","26,094","11,752","1,744",37,"157,621","157,621","6,930","11,529","25,333","28,010","22,301","24,493","21,780","11,862","4,884",488,11,"171,836","171,836","6,632","11,324","30,006","28,425","23,306","26,147","23,614","14,232","6,868","1,256",26
서울특별시 동대문구 (1123000000),"342,157","342,157","17,306","22,659","55,142","52,612","47,095","51,558","48,071","30,646","15,002","2,011",55,"166,780","166,780","8,783","11,474","25,804","26,812","24,047","25,949","23,503","13,829","5,985",583,11,"175,377","175,377","8,523","11,185","29,338","25,800","23,048","25,609","24,568","16,817","9,017","1,428",44
서울특별시 중랑구 (1126000000),"375,206","375,206","16,780","23,077","45,174","58,305","50,650","61,487","63,691","37,437","16,324","2,225",56,"183,154","183,154","8,528","11,874","21,318","29,665","26,391","30,240","30,816","17,124","6,608",580,10,"192,052","192,052","8,252","11,203","23,856","28,640","24,259","31,247","32,875","20,313","9,716","1,645",46
서울특별시 성북구 (1129000000),"421,029","421,029","21,617","33,920","62,895","56,661","59,644","70,198","58,180","36,617","18,565","2,668",64,"201,153","201,153","11,132","17,130","29,291","28,329","29,404","34,428","27,339","16,041","7,293",753,13,"219,876","219,876","10,485","16,790","33,604","28,332","30,240","35,770","30,841","20,576","11,272","1,915",51
서울특별시 강북구 (1130500000),"277,544","277,544","9,682","17,899","34,511","34,089","36,121","48,108","47,186","31,860","16,112","1,939",37,"133,409","133,409","4,934","9,112","15,964","17,886","18,757","23,810","22,371","13,741","6,261",571,2,"144,135","144,135","4,748","8,787","18,547","16,203","17,364","24,298","24,815","18,119","9,851","1,368",35
